idProduct,idCategory_x,AVG,LOW,TREND,AVG1,AVG7,AVG30,AVGFOIL,LOWFOIL,trend-foil,avg1-foil,avg7-foil,avg30-foil,LOWEX+,name,idCategory_y,categoryName,idExpansion,idMetacard,dateAdded,expansionName,real_discount,lowex_to_trend_ratio,price_momentum,condition_premium
5034,1,105.0,69.9,123.4,105.0,85.82,113.19,,,0.0,,,,76.89000000000001,Farmstead,1.0,Magic Single,2,1964.0,2007-01-01 00:00:00,Beta,0.3045380875202594,0.6230956239870341,0.2234910277324634,0.10000000000000012
16847,1,0.0,0.0,204.75,200.0,145.03,145.03,,,,,,,0.0,Guardian Angel,1.0,Magic Single,76,2553.0,2007-01-01 00:00:00,,0.29167277167277167,0.0,0.37902502930428184,0.0
5360,1,36.1,30.0,77.51,42.54,55.06,69.21,,,0.0,,,,33.0,Thicket Basilisk,1.0,Magic Single,1,5935.0,2007-01-01 00:00:00,Alpha,0.2896400464456199,0.4257515159334279,-0.22738830366872506,0.1
4646,1,59.95,44.9,98.86,61.95,70.3,132.92,,,0.0,,,,49.39,Deathlace,1.0,Magic Single,2,1372.0,2007-01-01 00:00:00,Beta,0.2888933845842606,0.4995953874165487,-0.11877667140825028,0.10000000000000005
464594,1,0.0,90.0,157.75,80.0,113.26,34.73,,,8.25,7.95,8.76,8.76,99.00000000000001,Arena Code (The Godzilla Lands),1.0,Magic Single,2901,305994.0,2020-05-28 13:26:55,,0.28202852614896984,0.6275752773375595,-0.29366060392018367,0.10000000000000016
16864,1,176.92,379.99,205.35,176.92,147.55,147.55,,,0.0,,,,417.98900000000003,Samite Healer,1.0,Magic Single,76,4880.0,2007-01-01 00:00:00,,0.28147065984903813,2.035495495495496,0.19905116909522177,0.10000000000000006
5110,1,0.0,40.0,97.01,73.9,70.43,101.9,,,0.0,,,,44.0,Dingus Egg,1.0,Magic Single,2,1490.0,2007-01-01 00:00:00,Beta,0.27399237192042053,0.45356148850633954,0.049268777509583965,0.1
16646,1,0.0,650.0,173.8,200.0,126.33,126.33,,,,,,,715.0000000000001,Gray Ogre,1.0,Magic Single,76,2512.0,2007-01-01 00:00:00,,0.27313003452243967,4.113924050632912,0.5831552283701417,0.10000000000000017
685756,1,0.0,59.99,99.47,87.0,72.33,72.33,,,0.0,,,,65.989,Disenchant,1.0,Magic Single,5199,1512.0,2022-11-18 04:49:45,,0.27284608424650647,0.6634060520760029,0.20282040647034427,0.10000000000000003
4858,1,20.65,39.95,68.87,20.65,50.18,80.49,,,0.0,,,,43.94500000000001,Lifelace,1.0,Magic Single,2,3282.0,2007-01-01 00:00:00,Beta,0.271380862494555,0.638086249455496,-0.5884814667198087,0.1000000000000001
263118,1,150.0,0.0,199.87,150.0,146.78,146.78,,,0.0,,,,0.0,Black Lotus Puzzle Card,1.0,Magic Single,1451,413325.0,2007-01-01 00:00:00,,0.2656226547255716,0.0,0.021937593677612745,0.0
685976,1,67.5,81.54,67.95,69.99,50.0,50.0,,,0.0,,,,89.69400000000002,Disrupting Scepter,1.0,Magic Single,5199,1522.0,2022-11-18 07:47:52,,0.2641648270787344,1.3200000000000003,0.3997999999999999,0.10000000000000012
5268,1,45.0,27.9,85.69,45.0,63.12,72.83,,,0.0,,,,30.69,Scavenging Ghoul,1.0,Magic Single,1,4952.0,2007-01-01 00:00:00,Alpha,0.26339129420002333,0.35815147625160465,-0.28707224334600756,0.1000000000000001
